date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:46:48	40338/40338	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20Sep%202021%2005:16:42%20GMT	https://www.panddengineers.in/enquiry.html	S:/New%20Project/productWebsite/www.panddengineers.in/enquiry.html	(from https://www.panddengineers.in/)
10:46:49	33846/33846	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20Sep%202021%2005:16:43%20GMT	https://www.panddengineers.in/sitemap.html	S:/New%20Project/productWebsite/www.panddengineers.in/sitemap.html	(from https://www.panddengineers.in/)
10:46:50	94839/94839	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2001%20Feb%202018%2007:43:28%20GMT	https://utils.imimg.com/imsrchui/js/jquery.js	S:/New%20Project/productWebsite/utils.imimg.com/imsrchui/js/jquery.js	(from https://www.panddengineers.in/)
10:46:52	11159/11159	---M--	200	added ('OK')	image/jpg	etag:%22960b130d459fde97e258309d2cb0d467%22	https://5.imimg.com/data5/HK/HT/MY-4170864/sheet-metal-press-die-250x250.jpg	S:/New%20Project/productWebsite/5.imimg.com/data5/HK/HT/MY-4170864/sheet-metal-press-die-250x250.jpg	(from https://www.panddengineers.in/press-die.html)
10:46:52	14675/14675	---M--	200	added ('OK')	image/jpg	etag:%229cb00e8d8aa17302c602c96858e50b5a%22	https://5.imimg.com/data5/HK/HT/MY-4170864/sheet-metal-press-die-125x125.jpg	S:/New%20Project/productWebsite/5.imimg.com/data5/HK/HT/MY-4170864/sheet-metal-press-die-125x125.jpg	(from https://www.panddengineers.in/press-die.html)
10:46:52	105851/105851	---M--	200	added ('OK')	image/png	etag:%221b042c43159e054615dd62b9951ab07e%22	https://5.imimg.com/data5/KN/WW/OU/SELLER-4170864/press-tool-die-for-all-sheet-metal-ind--250x250.png	S:/New%20Project/productWebsite/5.imimg.com/data5/KN/WW/OU/SELLER-4170864/press-tool-die-for-all-sheet-metal-ind--250x250.png	(from https://www.panddengineers.in/press-die.html)
10:46:53	29847/29847	---M--	200	added ('OK')	image/png	etag:%226c8ebaec2cf3b4681f849054f83708fa%22	https://5.imimg.com/data5/KN/WW/OU/SELLER-4170864/press-tool-die-for-all-sheet-metal-ind--125x125.png	S:/New%20Project/productWebsite/5.imimg.com/data5/KN/WW/OU/SELLER-4170864/press-tool-die-for-all-sheet-metal-ind--125x125.png	(from https://www.panddengineers.in/press-die.html)
10:46:53	329619/329619	---M--	200	added ('OK')	image/png	etag:%22f86ccabc1515f1128bd4942ffb9a46e2%22	https://5.imimg.com/data5/KN/WW/OU/SELLER-4170864/press-tool-die-for-all-sheet-metal-ind--500x500.png	S:/New%20Project/productWebsite/5.imimg.com/data5/KN/WW/OU/SELLER-4170864/press-tool-die-for-all-sheet-metal-ind--500x500.png	(from https://www.panddengineers.in/press-die.html)
10:46:54	13747/13747	---M--	200	added ('OK')	image/jpeg	etag:%221c04083053dff7d5086c1b7beb902b7c%22	https://5.imimg.com/data5/GL/HT/AX/ANDROID-4170864/product-jpeg-250x250.jpg	S:/New%20Project/productWebsite/5.imimg.com/data5/GL/HT/AX/ANDROID-4170864/product-jpeg-250x250.jpg	(from https://www.panddengineers.in/press-die.html)
10:46:54	42610/42610	---M--	200	added ('OK')	image/jpeg	etag:%22373b3cfd776468df223e87dab68f3ec8%22	https://5.imimg.com/data5/GL/HT/AX/ANDROID-4170864/product-jpeg-500x500.jpg	S:/New%20Project/productWebsite/5.imimg.com/data5/GL/HT/AX/ANDROID-4170864/product-jpeg-500x500.jpg	(from https://www.panddengineers.in/press-die.html)
10:46:54	4472/4472	---M--	200	added ('OK')	image/jpeg	etag:%220e8df51a8a7f3ef4becf41d4f7cfe971%22	https://5.imimg.com/data5/GL/HT/AX/ANDROID-4170864/product-jpeg-125x125.jpg	S:/New%20Project/productWebsite/5.imimg.com/data5/GL/HT/AX/ANDROID-4170864/product-jpeg-125x125.jpg	(from https://www.panddengineers.in/press-die.html)
10:46:55	98882/98882	---M--	200	added ('OK')	image/png	etag:%226437521383ae32cd1351207b92f3afb8%22	https://5.imimg.com/data5/KU/DD/JK/SELLER-4170864/sheet-metal-parts-250x250.png	S:/New%20Project/productWebsite/5.imimg.com/data5/KU/DD/JK/SELLER-4170864/sheet-metal-parts-250x250.png	(from https://www.panddengineers.in/sheet-metal-components.html)
10:46:56	324238/324238	---M--	200	added ('OK')	image/png	etag:%22c20f1286276373f5143a19387522d165%22	https://5.imimg.com/data5/KU/DD/JK/SELLER-4170864/sheet-metal-parts-500x500.png	S:/New%20Project/productWebsite/5.imimg.com/data5/KU/DD/JK/SELLER-4170864/sheet-metal-parts-500x500.png	(from https://www.panddengineers.in/sheet-metal-components.html)
